
Minimum time:  34556

Test #		Time
1:		38080
2:		36899
3:		35127
4:		34825
5:		34867
6:		34778
7:		34803
8:		34924
9:		35530
10:		34615
11:		34752
12:		37327
13:		34847
14:		34728
15:		34644
16:		34774
17:		34598
18:		34752
19:		34939
20:		35030
21:		34758
22:		34782
23:		34748
24:		34910
25:		34753
26:		34641
27:		34627
28:		34761
29:		34752
30:		34611
31:		35318
32:		34639
33:		34921
34:		34900
35:		34908
36:		34910
37:		34620
38:		34800
39:		34758
40:		34879
41:		34950
42:		34787
43:		34718
44:		34981
45:		34683
46:		34779
47:		34760
48:		34813
49:		34649
50:		34765
51:		34755
52:		34766
53:		34761
54:		34875
55:		34833
56:		34882
57:		34842
58:		34838
59:		34766
60:		34642
61:		34632
62:		34628
63:		34645
64:		34645
65:		34754
66:		34664
67:		34636
68:		34641
69:		34640
70:		34643
71:		34636
72:		34640
73:		34642
74:		34632
75:		34637
76:		34803
77:		34672
78:		34645
79:		34657
80:		34676
81:		34661
82:		34661
83:		34656
84:		34638
85:		34701
86:		34658
87:		34746
88:		34655
89:		34645
90:		34681
91:		34688
92:		34658
93:		34650
94:		34646
95:		34682
96:		34740
97:		34657
98:		34728
99:		34795
100:		34687
101:		34648
102:		34643
103:		34652
104:		34633
105:		34641
106:		34635
107:		34636
108:		34646
109:		34631
110:		35202
111:		34647
112:		34645
113:		34644
114:		34662
115:		34647
116:		34658
117:		34687
118:		34643
119:		34654
120:		34688
121:		34773
122:		34641
123:		34679
124:		35017
125:		34810
126:		34649
127:		34670
128:		34644
129:		34635
130:		34666
131:		34638
132:		34637
133:		34804
134:		34659
135:		34686
136:		34667
137:		34656
138:		34644
139:		34669
140:		34638
141:		34636
142:		34631
143:		34648
144:		34796
145:		34645
146:		34630
147:		34645
148:		34644
149:		34631
150:		34640
151:		34637
152:		34631
153:		34630
154:		34635
155:		34761
156:		34635
157:		34696
158:		34635
159:		34631
160:		34694
161:		34674
162:		34642
163:		34637
164:		34692
165:		34638
166:		34733
167:		34643
168:		34651
169:		34709
170:		34743
171:		34732
172:		34631
173:		34636
174:		34667
175:		34627
176:		34633
177:		34795
178:		37291
179:		39745
180:		39752
181:		39421
182:		39759
183:		39716
184:		39186
185:		39558
186:		39419
187:		39418
188:		39784
189:		39364
190:		39297
191:		39315
192:		39556
193:		39711
194:		39266
195:		39415
196:		36839
197:		34645
198:		36135
199:		38853
200:		39751
201:		40022
202:		39337
203:		39804
204:		39836
205:		39330
206:		39735
207:		39287
208:		39643
209:		39611
210:		40165
211:		40199
212:		39355
213:		40000
214:		39292
215:		39781
216:		39832
217:		35321
218:		36403
219:		34660
220:		34653
221:		34630
222:		34626
223:		34637
224:		34628
225:		34636
226:		34632
227:		34630
228:		34641
229:		34951
230:		34727
231:		34701
232:		38116
233:		34983
234:		34717
235:		34929
236:		34855
237:		34934
238:		34687
239:		34828
240:		34869
241:		34698
242:		34744
243:		34676
244:		34725
245:		34648
246:		34707
247:		34639
248:		34695
249:		34645
250:		34703
251:		35191
252:		34652
253:		34642
254:		34637
255:		34628
256:		34630
257:		34640
258:		34629
259:		34625
260:		34635
261:		34631
262:		34627
263:		34814
264:		34669
265:		34652
266:		34641
267:		34705
268:		34640
269:		34641
270:		34648
271:		34645
272:		34649
273:		34682
274:		35516
275:		34711
276:		34717
277:		34921
278:		34725
279:		34694
280:		34705
281:		34704
282:		34740
283:		34700
284:		34739
285:		34996
286:		34664
287:		34657
288:		34640
289:		34673
290:		34644
291:		34650
292:		34651
293:		34640
294:		34646
295:		34635
296:		34756
297:		34714
298:		34821
299:		34702
300:		34858
301:		34815
302:		34755
303:		34698
304:		34920
305:		36516
306:		34742
307:		34825
308:		35130
309:		34640
310:		34646
311:		34648
312:		34640
313:		34636
314:		34636
315:		34643
316:		34701
317:		34669
